"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","HS6 ID","HS6","Trade Value"
1,"Animal Products",101,"Live animals",10101,"Horses",1010111,"Horses, live pure-bred breeding",245355
1,"Animal Products",101,"Live animals",10101,"Horses",1010119,"Horses, live except pure-bred breeding",117700
1,"Animal Products",101,"Live animals",10102,"Bovine",1010210,"Bovine animals, live pure-bred breeding",74146
1,"Animal Products",101,"Live animals",10102,"Bovine",1010290,"Bovine animals, live, except pure-bred breeding",122028
1,"Animal Products",101,"Live animals",10103,"Pigs",1010310,"Swine, live pure-bred breeding",458068
1,"Animal Products",101,"Live animals",10103,"Pigs",1010391,"Swine, live except pure-bred breeding < 50 kg",4879
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",1010410,"Sheep, live",39310
1,"Animal Products",101,"Live animals",10105,"Poultry",1010511,"Fowls, live domestic < 185 grams",6123855
1,"Animal Products",101,"Live animals",10105,"Poultry",1010519,"Poultry, live except domestic fowls, < 185 grams",91556
1,"Animal Products",101,"Live animals",10106,"Other Animals",1010600,"Animals, live, except farm animals",473571
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",1020120,"Bovine cuts bone in, fresh or chilled",222388
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",1020130,"Bovine cuts boneless, fresh or chilled",26078167
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",1020220,"Bovine cuts bone in, frozen",2192070
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",1020230,"Bovine cuts boneless, frozen",19808642
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",1020311,"Swine carcasses and half carcasses, fresh or chilled",89657.99999999999
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",1020312,"Swine hams, shoulders & cuts bone in, fresh or chille",65198.00000000001
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",1020319,"Swine cuts, fresh or chilled, nes",661655
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",1020321,"Swine carcasses and half carcasses, frozen",820
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",1020322,"Hams, shoulders and cuts, of swine, bone in, frozen",1056518
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",1020329,"Swine cuts, frozen nes",31072552
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",1020422,"Sheep cuts, bone in, fresh or chilled",3058.0000000000005
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",1020423,"Sheep cuts, boneless, fresh or chilled",51028
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",1020430,"Lamb carcasses and half carcasses, frozen",251597.00000000003
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",1020442,"Sheep cuts, bone in, frozen",167474
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",1020443,"Sheep cuts, boneless, frozen",101627
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",1020450,"Goat meat, fresh, chilled or frozen",11993
1,"Animal Products",102,"Meat and edible meat offal",10206,"Edible Offal",1020621,"Bovine tongues, frozen",836497.9999999999
1,"Animal Products",102,"Meat and edible meat offal",10206,"Edible Offal",1020622,"Bovine livers, frozen",368049
1,"Animal Products",102,"Meat and edible meat offal",10206,"Edible Offal",1020629,"Bovine edible offal, frozen except livers and tongues",514649
1,"Animal Products",102,"Meat and edible meat offal",10206,"Edible Offal",1020641,"Swine livers, frozen",40159
1,"Animal Products",102,"Meat and edible meat offal",10206,"Edible Offal",1020649,"Swine edible offal, frozen except livers",774233
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",1020710,"Poultry, domestic, whole, fresh or chilled",24500
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",1020721,"Fowls, domestic, whole, frozen",694676
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",1020722,"Turkeys, domestic, whole, frozen",732300.9999999999
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",1020723,"Ducks, geese and guinea fowls, domestic, whole, froze",96647.00000000001
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",1020731,"Fatty livers (geese,ducks) domestic fresh or chilled",16417
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",1020739,"Poultry cuts & offal, except livers, fresh or chilled",9679
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",1020741,"Fowl cuts & offal, domestic, except livers, frozen",13662709.000000002
