"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",72882
"af","Africa","afbdi","Burundi","bdi",720
"af","Africa","afben","Benin","ben",9348
"af","Africa","afbfa","Burkina Faso","bfa",425396
"af","Africa","afbwa","Botswana","bwa",5201.000000000001
"af","Africa","afciv","Cote d'Ivoire","civ",573744
"af","Africa","afcmr","Cameroon","cmr",101305
"af","Africa","afcog","Republic of the Congo","cog",10443
"af","Africa","afcom","Comoros","com",3175
"af","Africa","afdza","Algeria","dza",54541
"af","Africa","afegy","Egypt","egy",5851439
"af","Africa","afeth","Ethiopia","eth",27689
"af","Africa","afgab","Gabon","gab",1420
"af","Africa","afgha","Ghana","gha",140384
"af","Africa","afken","Kenya","ken",929357
"af","Africa","aflbr","Liberia","lbr",1933
"af","Africa","aflby","Libya","lby",1613121
"af","Africa","afmar","Morocco","mar",3995491
"af","Africa","afmoz","Mozambique","moz",79450
"af","Africa","afmus","Mauritius","mus",82168
"af","Africa","afmwi","Malawi","mwi",14201
"af","Africa","afnam","Namibia","nam",24340
"af","Africa","afnga","Nigeria","nga",492183
"af","Africa","afrwa","Rwanda","rwa",5899
"af","Africa","afsen","Senegal","sen",1983436
"af","Africa","afsle","Sierra Leone","sle",25526
"af","Africa","afswz","Eswatini","swz",5070.999999999999
"af","Africa","afsyc","Seychelles","syc",8663
"af","Africa","aftgo","Togo","tgo",20699
"af","Africa","aftun","Tunisia","tun",4578430
"af","Africa","aftza","Tanzania","tza",179600
"af","Africa","afuga","Uganda","uga",28770
"af","Africa","afzaf","South Africa","zaf",18120010
"af","Africa","afzmb","Zambia","zmb",198122
"as","Asia","asare","United Arab Emirates","are",16268482
"as","Asia","asarm","Armenia","arm",1589142
"as","Asia","asaze","Azerbaijan","aze",2146645
"as","Asia","asbgd","Bangladesh","bgd",552212
"as","Asia","asbhr","Bahrain","bhr",39314
"as","Asia","asbrn","Brunei","brn",430793
"as","Asia","aschn","China","chn",310332780
"as","Asia","ascyp","Cyprus","cyp",37534
"as","Asia","asgeo","Georgia","geo",354510.99999999994
"as","Asia","ashkg","Hong Kong","hkg",158035449
"as","Asia","asidn","Indonesia","idn",3401502
"as","Asia","asind","India","ind",35956694
"as","Asia","asirn","Iran","irn",163820
"as","Asia","asirq","Iraq","irq",2875968
"as","Asia","asisr","Israel","isr",14441363
"as","Asia","asjor","Jordan","jor",1850905
"as","Asia","asjpn","Japan","jpn",285808132
"as","Asia","askaz","Kazakhstan","kaz",1920531
"as","Asia","askgz","Kyrgyzstan","kgz",143915
"as","Asia","askhm","Cambodia","khm",7615.000000000001
"as","Asia","askor","South Korea","kor",175961454
"as","Asia","askwt","Kuwait","kwt",5007944
"as","Asia","aslbn","Lebanon","lbn",1067989
"as","Asia","aslka","Sri Lanka","lka",19240
"as","Asia","asmac","Macau","mac",121874
"as","Asia","asmmr","Myanmar","mmr",264256
"as","Asia","asmng","Mongolia","mng",334605
"as","Asia","asmys","Malaysia","mys",19054782
"as","Asia","asomn","Oman","omn",49985
"as","Asia","aspak","Pakistan","pak",2202473
"as","Asia","asphl","Philippines","phl",14020016
"as","Asia","aspse","Palestine","pse",133
"as","Asia","asqat","Qatar","qat",2705643
"as","Asia","assau","Saudi Arabia","sau",30923672
"as","Asia","assgp","Singapore","sgp",70033156
"as","Asia","astha","Thailand","tha",37337252
"as","Asia","astur","Turkey","tur",54553398
"as","Asia","asuzb","Uzbekistan","uzb",100543
"as","Asia","asvnm","Vietnam","vnm",24798789
"as","Asia","asxxb","Chinese Taipei",,61162101
"as","Asia","asyem","Yemen","yem",2186
"eu","Europe","eualb","Albania","alb",1081229
"eu","Europe","euaut","Austria","aut",42455705
"eu","Europe","eubel","Belgium","bel",708372303
"eu","Europe","eubgr","Bulgaria","bgr",88206
"eu","Europe","eubih","Bosnia and Herzegovina","bih",3453848
"eu","Europe","eublr","Belarus","blr",6798124
"eu","Europe","euche","Switzerland","che",59831809
"eu","Europe","eucze","Czechia","cze",38351357
"eu","Europe","eudeu","Germany","deu",254702490
"eu","Europe","eudnk","Denmark","dnk",6964089
"eu","Europe","euesp","Spain","esp",202482808
"eu","Europe","euest","Estonia","est",6356042
"eu","Europe","eufin","Finland","fin",31281302.999999996
"eu","Europe","eufra","France","fra",99184873
"eu","Europe","eugbr","United Kingdom","gbr",272579999
"eu","Europe","eugrc","Greece","grc",13642902
"eu","Europe","euhrv","Croatia","hrv",1235982
"eu","Europe","euhun","Hungary","hun",4474350
"eu","Europe","euirl","Ireland","irl",87275901
"eu","Europe","euisl","Iceland","isl",1960729
"eu","Europe","euita","Italy","ita",194259228
"eu","Europe","eultu","Lithuania","ltu",1788389
"eu","Europe","eulux","Luxembourg","lux",2175835.9999999995
"eu","Europe","eulva","Latvia","lva",370602
