"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",101,"Live animals",10101,"Horses",315485
1,"Animal Products",101,"Live animals",10102,"Bovine",279328
1,"Animal Products",101,"Live animals",10103,"Pigs",747265
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",3058
1,"Animal Products",101,"Live animals",10105,"Poultry",5198962.000000001
1,"Animal Products",101,"Live animals",10106,"Other Animals",1317086
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",12484218
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",52480237
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",261225
1,"Animal Products",102,"Meat and edible meat offal",10206,"Edible Offal",8528848
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",1848218
1,"Animal Products",102,"Meat and edible meat offal",10208,"Other Meat",18520
1,"Animal Products",102,"Meat and edible meat offal",10209,"Animal Fat",55214
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",377616
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,"Live Fish",111183
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",37422728
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",1742253
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",45737434.00000001
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",3702707
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",12266794
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",56150
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10401,"Milk",43912970
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",36647680
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10403,"Fermented Milk Products",12682314
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10404,"Whey",18740394
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10405,"Butter",5965283
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",17249847
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10407,"Eggs",14114632
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10408,"Processed Egg Products",324828
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10409,"Honey",2
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10504,"Animal Organs",1378411
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10506,"Processed Bones",5111
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10510,"Pharmaceutical Animal Products",173309
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10511,"Other Inedible Animal Products",5224430
2,"Vegetable Products",206,"Trees and other live plants",20601,"Bulbs and Roots",660820
2,"Vegetable Products",206,"Trees and other live plants",20602,"Other Live Plants",72290939
2,"Vegetable Products",206,"Trees and other live plants",20603,"Cut Flowers",28402796.000000004
2,"Vegetable Products",206,"Trees and other live plants",20604,"Foliage",39436144
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20701,"Potatoes",106794
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20702,"Tomatoes",161312
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20703,"Onions",339548
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20704,"Cabbages",1049140
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20705,"Lettuce",301934
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20706,"Root Vegetables",9182532
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20707,"Cucumbers",15948
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20708,"Legumes",309636
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20709,"Other Vegetables",32777814
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",1017633
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20711,"Preserved Vegetables",214679
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20712,"Dried Vegetables",1159638
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",537677
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20714,"Cassava",94429874
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20801,"Coconuts, Brazil Nuts, and Cashews",1980734
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,"Other Nuts",525337.0000000001
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20803,"Bananas",1221125091
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20804,"Tropical Fruits",1183473156
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20805,"Citrus",1053504
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20806,"Grapes",738865
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20807,"Melons",106075679
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20808,"Apples and Pears",405505
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20809,"Pitted Fruits",58696
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20810,"Other Fruits",3808858
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20811,"Frozen Fruits and Nuts",79849052
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20812,"Preserved Fruits and Nuts",73070
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20813,"Dried Fruits",282424
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20814,"Citrus and Melon Peels",17170
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20901,"Coffee",347069528
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20902,"Tea",975250
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20903,"Maté",153
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20904,"Pepper",1666224
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20905,"Vanilla",52578
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20906,"Cinnamon",333019
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20907,"Cloves",33790
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20908,"Nutmeg, mace and cardamons",1364423
