"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",101,"Live animals",10101,"Horses",363055
1,"Animal Products",101,"Live animals",10102,"Bovine",196174
1,"Animal Products",101,"Live animals",10103,"Pigs",462947
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",39310
1,"Animal Products",101,"Live animals",10105,"Poultry",6215411
1,"Animal Products",101,"Live animals",10106,"Other Animals",473571
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",26300555
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",22000712
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",32946401
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",586777
1,"Animal Products",102,"Meat and edible meat offal",10206,"Edible Offal",2533588
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",21527485
1,"Animal Products",102,"Meat and edible meat offal",10208,"Other Meat",1084943
1,"Animal Products",102,"Meat and edible meat offal",10209,"Animal Fat",406009
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",2953309
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,"Live Fish",233080
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",2286852
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",15261245
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",28195664
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",834615
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",11117625
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",4205851
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10401,"Milk",1708065.9999999998
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",13118733
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10403,"Fermented Milk Products",2416506
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10404,"Whey",5431881
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10405,"Butter",3762461.9999999995
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",25870020
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10407,"Eggs",4686156
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10408,"Processed Egg Products",3349671
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10409,"Honey",1195857
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10410,"Other Edible Animal Products",328880
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10504,"Animal Organs",1071740
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10505,"Bird Feathers and Skins",32703
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10508,"Coral and Shells",16650
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10510,"Pharmaceutical Animal Products",419766
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10511,"Other Inedible Animal Products",2477999
2,"Vegetable Products",206,"Trees and other live plants",20601,"Bulbs and Roots",7780413.999999999
2,"Vegetable Products",206,"Trees and other live plants",20602,"Other Live Plants",2892014
2,"Vegetable Products",206,"Trees and other live plants",20603,"Cut Flowers",466142
