"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",134
"af","Africa","afbdi","Burundi","bdi",6
"af","Africa","afben","Benin","ben",3
"af","Africa","afbwa","Botswana","bwa",24923
"af","Africa","afcaf","Central African Republic","caf",3790
"af","Africa","afciv","Cote d'Ivoire","civ",815
"af","Africa","afcmr","Cameroon","cmr",826
"af","Africa","afcod","Democratic Republic of the Congo","cod",24124.999999999996
"af","Africa","afcog","Republic of the Congo","cog",41536
"af","Africa","afcom","Comoros","com",10575
"af","Africa","afcpv","Cape Verde","cpv",688
"af","Africa","afdza","Algeria","dza",3590374
"af","Africa","afegy","Egypt","egy",2268529
"af","Africa","afeth","Ethiopia","eth",65153
"af","Africa","afgha","Ghana","gha",491159.00000000006
"af","Africa","afgmb","Gambia","gmb",30665
"af","Africa","afgnb","Guinea-Bissau","gnb",13813
"af","Africa","afken","Kenya","ken",128607
"af","Africa","aflby","Libya","lby",68
"af","Africa","aflso","Lesotho","lso",11629
"af","Africa","afmar","Morocco","mar",5217242
"af","Africa","afmdg","Madagascar","mdg",119601
"af","Africa","afmli","Mali","mli",244
"af","Africa","afmoz","Mozambique","moz",30807
"af","Africa","afmrt","Mauritania","mrt",7525
"af","Africa","afmus","Mauritius","mus",113819
"af","Africa","afmwi","Malawi","mwi",29266
"af","Africa","afnam","Namibia","nam",10629
"af","Africa","afnga","Nigeria","nga",9143
"af","Africa","afrwa","Rwanda","rwa",6954
"af","Africa","afsdn","Sudan","sdn",10675
"af","Africa","afsen","Senegal","sen",985895
"af","Africa","afsle","Sierra Leone","sle",1359
"af","Africa","afsom","Somalia","som",2752
"af","Africa","afswz","Eswatini","swz",8260
"af","Africa","afsyc","Seychelles","syc",17703
"af","Africa","aftcd","Chad","tcd",12
"af","Africa","aftgo","Togo","tgo",36148
"af","Africa","aftun","Tunisia","tun",1096249
"af","Africa","aftza","Tanzania","tza",32372
"af","Africa","afuga","Uganda","uga",6310
"af","Africa","afzaf","South Africa","zaf",4536882
"af","Africa","afzmb","Zambia","zmb",229575.00000000003
"af","Africa","afzwe","Zimbabwe","zwe",2958
"as","Asia","asafg","Afghanistan","afg",10988
"as","Asia","asare","United Arab Emirates","are",16061534
"as","Asia","asarm","Armenia","arm",578
"as","Asia","asaze","Azerbaijan","aze",1155
"as","Asia","asbgd","Bangladesh","bgd",17307886
"as","Asia","asbhr","Bahrain","bhr",20007
"as","Asia","asbrn","Brunei","brn",9794
"as","Asia","asbtn","Bhutan","btn",15672.000000000002
"as","Asia","ascck","Cocos Keeling Islands","cck",3719
"as","Asia","aschn","China","chn",1879200727
"as","Asia","ascyp","Cyprus","cyp",18444
"as","Asia","asgeo","Georgia","geo",74969
"as","Asia","ashkg","Hong Kong","hkg",227685156
"as","Asia","asidn","Indonesia","idn",33543451
"as","Asia","asind","India","ind",164567773
"as","Asia","asiot","British Indian Ocean Territory","iot",331
"as","Asia","asirn","Iran","irn",10214
"as","Asia","asirq","Iraq","irq",202.00000000000003
"as","Asia","asisr","Israel","isr",47947458
"as","Asia","asjor","Jordan","jor",693215
"as","Asia","asjpn","Japan","jpn",306271503
"as","Asia","askaz","Kazakhstan","kaz",1799
"as","Asia","askgz","Kyrgyzstan","kgz",13.999999999999998
"as","Asia","askhm","Cambodia","khm",6678217
"as","Asia","askor","South Korea","kor",147342381
"as","Asia","aslao","Laos","lao",75173
"as","Asia","aslbn","Lebanon","lbn",36196
"as","Asia","aslka","Sri Lanka","lka",5120780
"as","Asia","asmac","Macau","mac",14229
"as","Asia","asmdv","Maldives","mdv",786556.9999999999
"as","Asia","asmmr","Myanmar","mmr",1133379
"as","Asia","asmys","Malaysia","mys",79771227
"as","Asia","asnpl","Nepal","npl",12892
"as","Asia","asomn","Oman","omn",3229494
"as","Asia","aspak","Pakistan","pak",8722314
"as","Asia","asphl","Philippines","phl",12637059
"as","Asia","asprk","North Korea","prk",7469319
"as","Asia","aspse","Palestine","pse",47421
"as","Asia","asqat","Qatar","qat",8236218
"as","Asia","assau","Saudi Arabia","sau",3775496
"as","Asia","assgp","Singapore","sgp",70264216
"as","Asia","assyr","Syria","syr",21218
"as","Asia","astha","Thailand","tha",96947792
"as","Asia","astjk","Tajikistan","tjk",9948
"as","Asia","astkm","Turkmenistan","tkm",996
"as","Asia","astls","Timor-Leste","tls",773
"as","Asia","astur","Turkey","tur",66907311
"as","Asia","asvnm","Vietnam","vnm",121132205
"as","Asia","asxxb","Chinese Taipei",,109787676
"eu","Europe","eualb","Albania","alb",122773.00000000001
"eu","Europe","euand","Andorra","and",6425
"eu","Europe","euaut","Austria","aut",27239468
"eu","Europe","eubel","Belgium","bel",64593414
"eu","Europe","eubgr","Bulgaria","bgr",2847533
"eu","Europe","eubih","Bosnia and Herzegovina","bih",99433
"eu","Europe","eublr","Belarus","blr",11526214
"eu","Europe","euche","Switzerland","che",204386470
"eu","Europe","eucze","Czechia","cze",9591548
"eu","Europe","eudeu","Germany","deu",275581642
"eu","Europe","eudnk","Denmark","dnk",35901275
"eu","Europe","euesp","Spain","esp",240405365
"eu","Europe","euest","Estonia","est",2724450
"eu","Europe","eufin","Finland","fin",15504698
"eu","Europe","eufra","France","fra",98583512
"eu","Europe","eugbr","United Kingdom","gbr",104505651
"eu","Europe","eugib","Gibraltar","gib",5373
"eu","Europe","eugrc","Greece","grc",3681370
"eu","Europe","euhrv","Croatia","hrv",575477
"eu","Europe","euhun","Hungary","hun",38101136
"eu","Europe","euirl","Ireland","irl",72311005
"eu","Europe","euisl","Iceland","isl",331608
"eu","Europe","euita","Italy","ita",172268416
"eu","Europe","eultu","Lithuania","ltu",44274386
"eu","Europe","eulux","Luxembourg","lux",1452112
"eu","Europe","eulva","Latvia","lva",1212054
"eu","Europe","eumda","Moldova","mda",139188
"eu","Europe","eumkd","North Macedonia","mkd",6588
"eu","Europe","eumlt","Malta","mlt",200801
