"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Horses",10101,"Animal Products",1,112659382,2019
"Live animals",101,"Bovine",10102,"Animal Products",1,52107136.99999999,2019
"Live animals",101,"Sheep and Goats",10104,"Animal Products",1,4253777,2019
"Live animals",101,"Poultry",10105,"Animal Products",1,33080659.000000004,2019
"Live animals",101,"Other Animals",10106,"Animal Products",1,2927255,2019
"Meat and edible meat offal",102,"Bovine Meat",10201,"Animal Products",1,307690109,2019
"Meat and edible meat offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,2087028409,2019
"Meat and edible meat offal",102,"Pig Meat",10203,"Animal Products",1,2006205,2019
"Meat and edible meat offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,2624953142,2019
"Meat and edible meat offal",102,"Horse Meat",10205,"Animal Products",1,80562,2019
"Meat and edible meat offal",102,"Edible Offal",10206,"Animal Products",1,189852678,2019
"Meat and edible meat offal",102,"Poultry Meat",10207,"Animal Products",1,33472313,2019
"Meat and edible meat offal",102,"Other Meat",10208,"Animal Products",1,130912123,2019
"Meat and edible meat offal",102,"Animal Fat",10209,"Animal Products",1,59950,2019
"Meat and edible meat offal",102,"Preserved Meat",10210,"Animal Products",1,5512498,2019
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Live Fish",10301,"Animal Products",1,1130344,2019
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,112178099,2019
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,293365308,2019
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Fish Fillets",10304,"Animal Products",1,218449181,2019
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Processed Fish",10305,"Animal Products",1,10632803,2019
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Crustaceans",10306,"Animal Products",1,234912403,2019
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Molluscs",10307,"Animal Products",1,208334432,2019
"Dairy products and other edible products of animal origin",104,"Milk",10401,"Animal Products",1,623973438,2019
"Dairy products and other edible products of animal origin",104,"Concentrated Milk",10402,"Animal Products",1,5733605727,2019
"Dairy products and other edible products of animal origin",104,"Fermented Milk Products",10403,"Animal Products",1,111457865,2019
"Dairy products and other edible products of animal origin",104,"Whey",10404,"Animal Products",1,409405054,2019
"Dairy products and other edible products of animal origin",104,"Butter",10405,"Animal Products",1,2290131127,2019
"Dairy products and other edible products of animal origin",104,"Cheese",10406,"Animal Products",1,1346163822,2019
"Dairy products and other edible products of animal origin",104,"Eggs",10407,"Animal Products",1,10580832,2019
"Dairy products and other edible products of animal origin",104,"Processed Egg Products",10408,"Animal Products",1,340183,2019
"Dairy products and other edible products of animal origin",104,"Honey",10409,"Animal Products",1,236505346,2019
"Dairy products and other edible products of animal origin",104,"Other Edible Animal Products",10410,"Animal Products",1,2545662,2019
"Animal originated products; not elsewhere specified or included",105,"Animal Organs",10504,"Animal Products",1,222514871,2019
"Animal originated products; not elsewhere specified or included",105,"Bird Feathers and Skins",10505,"Animal Products",1,1642379,2019
"Animal originated products; not elsewhere specified or included",105,"Processed Bones",10506,"Animal Products",1,14866034,2019
"Animal originated products; not elsewhere specified or included",105,"Raw Bones",10507,"Animal Products",1,41510388,2019
"Animal originated products; not elsewhere specified or included",105,"Coral and Shells",10508,"Animal Products",1,1753584,2019
"Animal originated products; not elsewhere specified or included",105,"Pharmaceutical Animal Products",10510,"Animal Products",1,6785612,2019
"Animal originated products; not elsewhere specified or included",105,"Other Inedible Animal Products",10511,"Animal Products",1,92764986,2019
"Trees and other live plants",206,"Bulbs and Roots",20601,"Vegetable Products",2,31514736,2019
"Trees and other live plants",206,"Other Live Plants",20602,"Vegetable Products",2,2862131,2019
"Trees and other live plants",206,"Cut Flowers",20603,"Vegetable Products",2,12261077,2019
"Trees and other live plants",206,"Foliage",20604,"Vegetable Products",2,1783456,2019
"Vegetables and certain roots and tubers; edible",207,"Potatoes",20701,"Vegetable Products",2,14291876,2019
"Vegetables and certain roots and tubers; edible",207,"Tomatoes",20702,"Vegetable Products",2,8776993,2019
"Vegetables and certain roots and tubers; edible",207,"Onions",20703,"Vegetable Products",2,125316696,2019
"Vegetables and certain roots and tubers; edible",207,"Cabbages",20704,"Vegetable Products",2,1803760,2019
"Vegetables and certain roots and tubers; edible",207,"Lettuce",20705,"Vegetable Products",2,638721,2019
"Vegetables and certain roots and tubers; edible",207,"Root Vegetables",20706,"Vegetable Products",2,5792307,2019
"Vegetables and certain roots and tubers; edible",207,"Cucumbers",20707,"Vegetable Products",2,265204,2019
"Vegetables and certain roots and tubers; edible",207,"Legumes",20708,"Vegetable Products",2,236513,2019
"Vegetables and certain roots and tubers; edible",207,"Other Vegetables",20709,"Vegetable Products",2,60026138,2019
"Vegetables and certain roots and tubers; edible",207,"Frozen Vegetables",20710,"Vegetable Products",2,91054529,2019
"Vegetables and certain roots and tubers; edible",207,"Preserved Vegetables",20711,"Vegetable Products",2,296097,2019
"Vegetables and certain roots and tubers; edible",207,"Dried Vegetables",20712,"Vegetable Products",2,15566868,2019
"Vegetables and certain roots and tubers; edible",207,"Dried Legumes",20713,"Vegetable Products",2,20520262,2019
"Vegetables and certain roots and tubers; edible",207,"Cassava",20714,"Vegetable Products",2,210447,2019
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Coconuts, Brazil Nuts, and Cashews",20801,"Vegetable Products",2,292781,2019
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Other Nuts",20802,"Vegetable Products",2,843930,2019
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Bananas",20803,"Vegetable Products",2,221217,2019
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Tropical Fruits",20804,"Vegetable Products",2,70712140,2019
